
2024/09/28 (17:32:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/28 (17:41:15) | ===> btop++ v.1.3.2
2024/09/28 (17:41:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/29 (07:27:35) | ===> btop++ v.1.3.2
2024/09/29 (07:27:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/30 (11:33:17) | ===> btop++ v.1.3.2
2024/09/30 (11:33:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/30 (20:31:12) | ===> btop++ v.1.3.2
2024/09/30 (20:31:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/01 (11:03:30) | ===> btop++ v.1.3.2
2024/10/01 (11:03:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/04 (11:45:44) | ===> btop++ v.1.3.2
2024/10/04 (11:45:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/06 (08:43:43) | ===> btop++ v.1.3.2
2024/10/06 (08:43:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/06 (08:51:52) | ===> btop++ v.1.3.2
2024/10/06 (08:51:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/06 (09:32:12) | ===> btop++ v.1.3.2
2024/10/06 (09:32:12) | WARNING: Failed to set locale UTF-8 continuing anyway.
